# Piecewise-constant joint-parity gate: Rz(pi/2) -- XZ -- Rz(pi/2), stitched into one pulse.
# Segment 2 (XZ) time-rescaled by r = T1_3/T2, with only the intentional control fields (hop, x, y,
# and the z control) divided by r so all three segments have equal duration T1_3. ksi (crosstalk/
# dephasing noise) is a physical rate, left unscaled -- it now acts over segment 2's longer real
# duration, so this is NOT fidelity-invariant relative to the un-rescaled ksi=1 pulse.
# Hold each row's values constant from its time until the NEXT row's time (staircase/AWG convention).
# The last row's values are unused -- its time only marks the end of the pulse.
# Time in units of 1/|chi|; fields in units of |chi|. H(t) = hop*(a_dag b + a b_dag)/2 + detuning*(n_a Sz)/2
#                                                       + x*Sx/2 + y*Sy/2 + z*Sz/2
# columns: time, hop, detuning, x, y, z
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-7.931010045843081557e-03,0.000000000000000000e+00,-5.000000000000000000e-01
3.837779232903781260e-03,0.000000000000000000e+00,1.000000000000000000e+00,-7.979760207494527441e-03,0.000000000000000000e+00,-5.000000000000000000e-01
7.675558465807562521e-03,0.000000000000000000e+00,1.000000000000000000e+00,-8.046354044684933191e-03,0.000000000000000000e+00,-5.000000000000000000e-01
1.151333769871134421e-02,0.000000000000000000e+00,1.000000000000000000e+00,-8.130789596566158697e-03,0.000000000000000000e+00,-5.000000000000000000e-01
1.535111693161512504e-02,0.000000000000000000e+00,1.000000000000000000e+00,-8.233064265837251525e-03,0.000000000000000000e+00,-5.000000000000000000e-01
1.918889616451890587e-02,0.000000000000000000e+00,1.000000000000000000e+00,-8.353174818841556729e-03,0.000000000000000000e+00,-5.000000000000000000e-01
2.302667539742268843e-02,0.000000000000000000e+00,1.000000000000000000e+00,-8.491117385689993247e-03,0.000000000000000000e+00,-5.000000000000000000e-01
2.686445463032646752e-02,0.000000000000000000e+00,1.000000000000000000e+00,-8.646887460416106952e-03,0.000000000000000000e+00,-5.000000000000000000e-01
3.070223386323025008e-02,0.000000000000000000e+00,1.000000000000000000e+00,-8.820479901156540875e-03,0.000000000000000000e+00,-5.000000000000000000e-01
3.454001309613403264e-02,0.000000000000000000e+00,1.000000000000000000e+00,-9.011888930361344405e-03,0.000000000000000000e+00,-5.000000000000000000e-01
3.837779232903781174e-02,0.000000000000000000e+00,1.000000000000000000e+00,-9.221108135033009509e-03,0.000000000000000000e+00,-5.000000000000000000e-01
4.221557156194159083e-02,0.000000000000000000e+00,1.000000000000000000e+00,-9.448130466993122020e-03,0.000000000000000000e+00,-5.000000000000000000e-01
4.605335079484537686e-02,0.000000000000000000e+00,1.000000000000000000e+00,-9.692948243177646264e-03,0.000000000000000000e+00,-5.000000000000000000e-01
4.989113002774915595e-02,0.000000000000000000e+00,1.000000000000000000e+00,-9.955553145961502232e-03,0.000000000000000000e+00,-5.000000000000000000e-01
5.372890926065293504e-02,0.000000000000000000e+00,1.000000000000000000e+00,-1.023593622351023739e-02,0.000000000000000000e+00,-5.000000000000000000e-01
5.756668849355672107e-02,0.000000000000000000e+00,1.000000000000000000e+00,-1.053408789016145077e-02,0.000000000000000000e+00,-5.000000000000000000e-01
6.140446772646050017e-02,0.000000000000000000e+00,1.000000000000000000e+00,-1.084999792683299068e-02,0.000000000000000000e+00,-5.000000000000000000e-01
6.524224695936428620e-02,0.000000000000000000e+00,1.000000000000000000e+00,-1.118365548146106093e-02,0.000000000000000000e+00,-5.000000000000000000e-01
6.908002619226806529e-02,0.000000000000000000e+00,1.000000000000000000e+00,-1.153504906946582233e-02,0.000000000000000000e+00,-5.000000000000000000e-01
7.291780542517184438e-02,0.000000000000000000e+00,1.000000000000000000e+00,-1.190416657424492146e-02,0.000000000000000000e+00,-5.000000000000000000e-01
7.675558465807562347e-02,0.000000000000000000e+00,1.000000000000000000e+00,-1.229099524769703723e-02,0.000000000000000000e+00,-5.000000000000000000e-01
8.059336389097940256e-02,0.000000000000000000e+00,1.000000000000000000e+00,-1.269552171077119665e-02,0.000000000000000000e+00,-5.000000000000000000e-01
8.443114312388318166e-02,0.000000000000000000e+00,1.000000000000000000e+00,-1.311773195404633899e-02,0.000000000000000000e+00,-5.000000000000000000e-01
8.826892235678697463e-02,0.000000000000000000e+00,1.000000000000000000e+00,-1.355761133833878473e-02,0.000000000000000000e+00,-5.000000000000000000e-01
9.210670158969075372e-02,0.000000000000000000e+00,1.000000000000000000e+00,-1.401514459533579823e-02,0.000000000000000000e+00,-5.000000000000000000e-01
9.594448082259453281e-02,0.000000000000000000e+00,1.000000000000000000e+00,-1.449031582826082985e-02,0.000000000000000000e+00,-5.000000000000000000e-01
9.978226005549831190e-02,0.000000000000000000e+00,1.000000000000000000e+00,-1.498310851256412848e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.036200392884020910e-01,0.000000000000000000e+00,1.000000000000000000e+00,-1.549350549664232392e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.074578185213058701e-01,0.000000000000000000e+00,1.000000000000000000e+00,-1.602148900258557399e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.112955977542096631e-01,0.000000000000000000e+00,1.000000000000000000e+00,-1.656704062695399729e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.151333769871134421e-01,0.000000000000000000e+00,1.000000000000000000e+00,-1.713014134158072008e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.189711562200172212e-01,0.000000000000000000e+00,1.000000000000000000e+00,-1.771077149440441686e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.228089354529210003e-01,0.000000000000000000e+00,1.000000000000000000e+00,-1.830891081032558210e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.266467146858247794e-01,0.000000000000000000e+00,1.000000000000000000e+00,-1.892453839209790392e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.304844939187285724e-01,0.000000000000000000e+00,1.000000000000000000e+00,-1.955763272124031935e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.343222731516323376e-01,0.000000000000000000e+00,1.000000000000000000e+00,-2.020817165898019033e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.381600523845361306e-01,0.000000000000000000e+00,1.000000000000000000e+00,-2.087613244722575506e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.419978316174398958e-01,0.000000000000000000e+00,1.000000000000000000e+00,-2.156149170956074210e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.458356108503436888e-01,0.000000000000000000e+00,1.000000000000000000e+00,-2.226422545227366850e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.496733900832474817e-01,0.000000000000000000e+00,1.000000000000000000e+00,-2.298430906540852373e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.535111693161512469e-01,0.000000000000000000e+00,1.000000000000000000e+00,-2.372171732384630374e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.573489485490550399e-01,0.000000000000000000e+00,1.000000000000000000e+00,-2.447642438841452633e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.611867277819588051e-01,0.000000000000000000e+00,1.000000000000000000e+00,-2.524840380702012346e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.650245070148625981e-01,0.000000000000000000e+00,1.000000000000000000e+00,-2.603762851581583812e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.688622862477663633e-01,0.000000000000000000e+00,1.000000000000000000e+00,-2.684407084038664681e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.727000654806701563e-01,0.000000000000000000e+00,1.000000000000000000e+00,-2.766770249697066142e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.765378447135739493e-01,0.000000000000000000e+00,1.000000000000000000e+00,-2.850849459370160405e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.803756239464777145e-01,0.000000000000000000e+00,1.000000000000000000e+00,-2.936641763188085549e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.842134031793815074e-01,0.000000000000000000e+00,1.000000000000000000e+00,-3.024144150727673189e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.880511824122852726e-01,0.000000000000000000e+00,1.000000000000000000e+00,-3.113353551145028875e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.918889616451890656e-01,0.000000000000000000e+00,1.000000000000000000e+00,-3.204266833310676077e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.957267408780928308e-01,0.000000000000000000e+00,1.000000000000000000e+00,-3.296880805947654397e-02,0.000000000000000000e+00,-5.000000000000000000e-01
1.995645201109966238e-01,0.000000000000000000e+00,1.000000000000000000e+00,-3.391192217772071721e-02,0.000000000000000000e+00,-5.000000000000000000e-01
